angDist,_RAJ2000,_DEJ2000,objName,S09,e_S09,q_S09,S18,e_S18,q_S18,Nd09,Nd18,X09,X18,RAJ2000,DEJ2000,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.160244,75.08649,81.19405,0500207+811138,8.842,0.0615,3,1.999,0.0525,3,0,0,0,0,75.08649,81.19405,HD30338,04509+8107,F04509+8107,SAO 783,HR 1523,HD 30338,K3III,6.673,1.617,6.49,1.61,05 00 20.7207,+81 11 38.716,Star,5,0,20.7207,81,11,38.716,75.08633625,81.19408778
1.569170,140.26323,34.39261,0921031+342333,113.7,2.01,3,24.64,0.0615,3,0,0,0,0,140.26323,34.39261,HD80493,09180+3436,F09180+3436,ALP LYN,HR 3705,HD 80493,K7IIIab,83.78,19.64,86.9,19.6,09 21 03.3012,+34 23 33.223,Variable star,9,21,3.3012,34,23,33.223,140.263755,34.39256194
1.927708,31.79382,23.46209,0207105+232743,114.9,1.09,3,24.22,0.163,3,0,0,0,0,31.79382,23.46209,HD12929,02043+2313,F02043+2313,ALP ARI,HR 617,HD 12929,K2-IIIab,84.76,20.01,77.8,20.3,02 07 10.4071,+23 27 44.723,Variable star,2,7,10.4071,23,27,44.723,31.79336292,23.46242306
0.749633,188.68278,70.02176,1234438+700118,13.65,0.0476,3,3.117,0.0135,3,0,0,0,0,188.68278,70.02176,HD109551,12326+7017,F12326+7017,6 DRA,HR 4795,HD 109551,K2.5III,10.22,2.471,10.6,2.51,12 34 44.0133,+70 01 18.371,Star,12,34,44.0133,70,1,18.371,188.6833888,70.02176972
0.448440,169.61973,33.09443,1118287+330539,48.72,0.309,3,10.61,0.146,3,0,0,0,0,169.61973,33.09443,HD98262,11157+3322,F11157+3322,NU UMA,HR 4377,HD 98262,K3-III,35.22,8.297,35.7,8.25,11 18 28.7368,+33 05 39.500,Star in double system,11,18,28.7368,33,5,39.5,169.6197367,33.09430556
0.485537,188.78219,18.37706,1235077+182237,6.525,0.0187,3,1.477,0.0347,3,0,0,0,0,188.78219,18.37706,HD109511,12326+1839,F12325+1839,24 COM,HR 4792,HD 109511,K2III,4.704,1.087,4.64,1.37,12 35 07.7597,+18 22 37.408,Variable star,12,35,7.7597,18,22,37.408,188.7823321,18.37705778
0.924644,116.53088,18.50983,0746074+183035,18.64,0.0294,3,4.121,0.0127,3,0,0,0,0,116.53088,18.50983,HD62721,07432+1837,F07432+1837,81 GEM,HR 3003,HD 62721,K5III,13.67,3.299,13.6,3.29,07 46 07.4473,+18 30 36.157,Star,7,46,7.4473,18,30,36.157,116.5310304,18.51004361
0.399233,75.58288,74.2693,0502198+741609,7.327,0.0434,3,1.745,0.0288,3,0,0,0,0,75.58288,74.2693,HD31312,04559+7411,F04559+7411,,HR 1572,HD 31312,K5III,5.658,1.373,5.55,1.33,05 02 19.8135,+74 16 09.724,Star,5,2,19.8135,74,16,9.724,75.58255625,74.26936778
0.366440,19.27116,44.9019,0117050+445406,8.253,0.0176,3,1.971,0.0259,3,0,0,0,0,19.27116,44.9019,HD7647,01141+4438,F01141+4438,,HR 372,HD 7647,K5III,6.508,1.545,6.44,1.62,01 17 05.0638,+44 54 07.172,Star,1,17,5.0638,44,54,7.172,19.27109917,44.90199222
1.995688,163.32813,34.21434,1053187+341251,17.69,0.0606,3,3.778,0.0707,3,0,0,0,0,163.32813,34.21434,HD94264,10505+3428,F10505+3428,46 LMI,HR 4247,HD 94264,K0+III-IV,12.88,3.006,12.6,2.93,10 53 18.7051,+34 12 53.536,Variable star,10,53,18.7051,34,12,53.536,163.3279379,34.21487111
0.610399,110.48679,20.44354,0721568+202636,17.7,0.0759,3,3.895,0.0304,3,0,0,0,0,110.48679,20.44354,HD57423,07189+2032,F07189+2032,56 GEM,HR 2795,HD 57423,M0IIIab,12.62,2.962,12.8,3.19,07 21 56.8607,+20 26 37.170,Variable star,7,21,56.8607,20,26,37.17,110.4869196,20.44365833
0.465539,163.39341,54.58523,1053344+543506,9.362,0.0117,3,2.143,0.0173,3,0,0,0,0,163.39341,54.58523,HD94247,10505+5451,F10505+5450,44 UMA,HR 4246,HD 94247,K3III,7.336,1.698,7.56,1.8,10 53 34.4515,+54 35 06.462,Star,10,53,34.4515,54,35,6.462,163.3935479,54.58512833
0.582653,163.39515,26.20761,1053348+261227,7.207,0.0329,3,1.731,0.0491,3,0,0,0,0,163.39515,26.20761,HD94336,10508+2628,F10508+2628,,,HD 94336,M0III,5.236,1.28,5.32,1.34,10 53 34.8453,+26 12 27.965,Star,10,53,34.8453,26,12,27.965,163.3951888,26.20776806
1.903833,194.97813,66.59728,1259547+663550,7.505,0.0193,3,1.705,0.0313,3,0,0,0,0,194.97813,66.59728,HD113092,12580+6652,F12580+6651,9 DRA,HR 4928,HD 113092,K2III,5.454,1.301,5.5,1.37,12 59 55.0707,+66 35 50.179,Star,12,59,55.0707,66,35,50.179,194.9794613,66.59727194
0.254293,44.76524,35.1831,0259036+351059,8.751,0.0456,3,1.889,0.0507,3,0,0,0,0,44.76524,35.1831,HD18449,02559+3459,F02559+3459,24 PER,HR 882,HD 18449,K2III,6.401,1.487,6.59,1.52,02 59 03.6766,+35 10 59.262,Star,2,59,3.6766,35,10,59.262,44.76531917,35.18312833
0.459712,184.95302,48.98427,1219487+485903,21.98,0.036,3,5.016,0.0322,3,0,0,0,0,184.95302,48.98427,HD107274,12173+4915,F12173+4915,3 CVN,HR 4690,HD 107274,M0III,16.53,3.901,17.4,3.85,12 19 48.7103,+48 59 02.935,Star,12,19,48.7103,48,59,2.935,184.9529596,48.98414861
0.635950,33.26393,15.27977,0213033+151647,11.95,0.0838,3,3.298,0.477,3,0,0,0,0,33.26393,15.27977,HD13596,02103+1502,F02103+1502,19 ARI,HR 648,HD 13596,M0III,9.036,2.072,9.07,2.05,02 13 03.3053,+15 16 47.494,Variable star,2,13,3.3053,15,16,47.494,33.26377208,15.27985944
0.358029,33.30557,44.23156,0213133+441353,18.64,0.0597,3,4.17,0.0235,3,0,0,0,0,33.30557,44.23156,HD13520,02100+4359,F02100+4359,60 AND,HR 643,HD 13520,K3.5III,13.61,3.585,13.5,3.48,02 13 13.3241,+44 13 53.947,Variable star,2,13,13.3241,44,13,53.947,33.30551708,44.23165194
0.396769,151.97602,9.99748,1007542+095950,24.37,0.217,3,5.388,0.0805,3,0,0,0,0,151.97602,9.99748,HD87837,10052+1014,F10052+1014,31 LEO,HR 3980,HD 87837,K3.5IIIb,17.81,4.185,17.6,4.16,10 07 54.2708,+09 59 51.028,Star in double system,10,7,54.2708,9,59,51.028,151.9761283,9.997507778
2.098177,185.08685,3.31245,1220208+031844,8.291,0.0254,3,1.828,0.0193,3,0,0,0,0,185.08685,3.31245,HD107328,12177+0335,F12177+0335,16 VIR,HR 4695,HD 107328,K0.5IIIb,6.212,1.392,5.99,1.41,12 20 20.9809,+03 18 45.267,Variable star,12,20,20.9809,3,18,45.267,185.0874204,3.312574167
0.396109,141.16348,26.18226,0924392+261056,13.58,0.0483,3,2.913,0.0419,3,0,0,0,0,141.16348,26.18226,HD81146,09217+2623,F09217+2623,KAP LEO,HR 3731,HD 81146,K2III,9.814,2.317,9.83,2.36,09 24 39.2591,+26 10 56.367,Double or multiple star,9,24,39.2591,26,10,56.367,141.1635796,26.18232417
0.548653,7.05298,16.44492,0028127+162641,7.928,0.0334,3,1.838,0.0428,3,0,0,0,0,7.05298,16.44492,HD2436,00256+1610,F00256+1610,48 PSC,HR 106,HD 2436,K5III,5.896,1.382,5.58,1.43,00 28 12.7039,+16 26 42.236,Star,0,28,12.7039,16,26,42.236,7.052932917,16.44506556
0.803539,7.2378,48.41362,0028570+482449,22.88,0.0665,3,5.622,0.0748,3,0,0,0,0,7.2378,48.41362,HD2486,00262+4808,F00262+4808,,,HD 2486,M0III,17.11,4.706,17.1,4.72,00 28 56.9981,+48 24 49.355,Semi-regular pulsating star,0,28,56.9981,48,24,49.355,7.237492083,48.41370972
0.698643,20.85375,20.469,0123248+202808,13.19,0.0564,3,2.978,0.0703,3,0,0,0,0,20.85375,20.469,HD8388,01207+2012,F01207+2012,,HR 397,HD 8388,K7III,9.71,2.458,9.56,2.35,01 23 24.9490,+20 28 08.282,Star,1,23,24.949,20,28,8.282,20.85395417,20.46896722
0.302278,84.14688,54.42868,0536352+542543,13.56,0.038,3,3.168,0.0258,3,0,0,0,0,84.14688,54.42868,HD36678,05324+5423,F05324+5423,,HR 1866,HD 36678,M0III,9.57,2.504,10.5,2.52,05 36 35.2177,+54 25 43.171,Variable star,5,36,35.2177,54,25,43.171,84.14674042,54.42865861
0.439618,67.15425,19.18034,0428370+191049,17.9,0.138,3,3.78,0.0491,3,0,0,0,0,67.15425,19.18034,HD28305,04256+1904,F04256+1904,EPS TAU,HR 1409,HD 28305,G9.5III,13.19,3.199,12.9,3.18,04 28 36.9995,+19 10 49.554,Star in double system,4,28,36.9995,19,10,49.554,67.15416458,19.18043167
2.122003,84.2268,9.29013,0536544+091724,,,0,2.748,0.0317,3,,0,,0,84.2268,9.29013,HD37160,05341+0915,F05341+0915,PHI 2 ORI,HR 1907,HD 37160,K0IIIb,9.421,2.02,9.37,2.16,05 36 54.4879,+09 17 26.422,High proper-motion star,5,36,54.4879,9,17,26.422,84.22703292,9.290672778
0.745696,34.48909,29.00716,0217573+290025,7.814,0.0183,3,1.819,0.055,3,0,0,0,0,34.48909,29.00716,HD14146,02150+2846,F02150+2846,,,HD 14146,M0III,5.903,1.473,5.98,1.54,02 17 57.3307,+29 00 26.108,Semi-regular pulsating star,2,17,57.3307,29,0,26.108,34.48887792,29.00725222
0.185393,111.23786,51.88731,0724570+515314,9.978,0.134,3,2.356,0.0516,3,0,0,0,0,111.23786,51.88731,HD57646,07210+5159,F07210+5159,,HR 2804,HD 57646,K5III,7.515,1.849,7.43,1.99,07 24 57.0877,+51 53 14.131,Star,7,24,57.0877,51,53,14.131,111.2378654,51.88725861
1.558268,148.19044,26.00684,0952457+260024,20.07,0.0817,3,4.391,0.0786,3,0,0,0,0,148.19044,26.00684,HD85503,09499+2614,F09499+2614,MUU LEO,HR 3905,HD 85503,K2III,14.53,3.395,14.6,3.5,09 52 45.8173,+26 00 25.025,High proper-motion star,9,52,45.8173,26,0,25.025,148.1909054,26.00695139
0.346568,129.68931,3.34134,0838454+032028,11.71,0.0166,3,2.641,0.0391,3,0,0,0,0,129.68931,3.34134,HD73471,08361+0331,F08361+0331,SIG HYA,HR 3418,HD 73471,K1III,8.683,2.067,8.4,2.1,08 38 45.4377,+03 20 29.167,Star,8,38,45.4377,3,20,29.167,129.6893238,3.341435278
0.712780,130.05298,64.32787,0840127+641940,11.04,0.0322,3,2.458,0.0139,3,0,0,0,0,130.05298,64.32787,HD73108,08358+6430,F08358+6430,PI 2 UMA,HR 3403,HD 73108,K1+IIIb,8.34,2.039,8.28,1.95,08 40 12.8186,+64 19 40.570,Star,8,40,12.8186,64,19,40.57,130.0534108,64.32793611
2.110456,22.54688,6.14366,0130112+060837,15.19,0.0375,3,3.521,0.122,3,0,0,0,0,22.54688,6.14366,HD9138,01275+0553,F01275+0553,MUU PSC,HR 434,HD 9138,K3III,10.8,2.579,11.0,2.59,01 30 11.1151,+06 08 37.754,High proper-motion star,1,30,11.1151,6,8,37.754,22.54631292,6.143820556
0.163184,47.08797,18.79501,0308211+184742,7.49,0.0466,3,1.704,0.0261,3,0,0,0,0,47.08797,18.79501,HD19460,03055+1836,F03055+1836,54 ARI,HR 940,HD 19460,M0III,5.552,1.369,5.43,1.36,03 08 21.1090,+18 47 42.190,Star,3,8,21.109,18,47,42.19,47.08795417,18.79505278
1.060004,99.83252,42.48859,0639198+422918,9.233,0.0538,3,2.09,0.0324,3,0,0,0,0,99.83252,42.48859,HD47174,06357+4232,F06357+4232,PSI 2 AUR,HR 2427,HD 47174,K2-III,7.349,1.572,7.7,1.63,06 39 19.8263,+42 29 19.957,Star in double system,6,39,19.8263,42,29,19.957,99.83260958,42.48887694
0.055919,77.92319,16.04566,0511415+160244,14.85,0.0906,3,3.317,0.0818,3,0,0,0,0,77.92319,16.04566,HD33554,05088+1559,F05088+1559,,HR 1684,HD 33554,K5III,11.18,2.76,10.9,2.71,05 11 41.5635,+16 02 44.423,Star,5,11,41.5635,16,2,44.423,77.92318125,16.04567306
0.356619,36.40582,50.27856,0225373+501642,22.78,0.0649,3,5.0,0.0381,3,0,0,0,0,36.40582,50.27856,HD14872,02222+5003,Z02222+5003,65 AND,HR 699,HD 14872,K4.5III,16.03,3.8,16.1,3.92,02 25 37.4227,+50 16 43.072,Star in double system,2,25,37.4227,50,16,43.072,36.40592792,50.27863111
0.124102,136.49319,5.09235,0905583+050532,7.923,0.0289,3,1.754,0.0236,3,0,0,0,0,136.49319,5.09235,HD77996,09033+0517,F09033+0517,OME HYA,HR 3613,HD 77996,K2II-III,5.791,1.432,5.95,1.41,09 05 58.3667,+05 05 32.337,Star,9,5,58.3667,5,5,32.337,136.4931946,5.092315833
2.405388,47.37474,44.85709,0309299+445125,13.61,0.016,3,2.855,0.0324,3,0,0,0,0,47.37474,44.85709,HD19476,03061+4440,F03061+4440,KAP PER,HR 941,HD 19476,K0III,9.934,2.338,10.0,2.41,03 09 29.7715,+44 51 27.157,Variable star,3,9,29.7715,44,51,27.157,47.37404792,44.85754361
0.427740,105.90861,10.9517,0703380+105706,9.881,0.0655,3,2.215,0.0212,3,0,0,0,0,105.90861,10.9517,HD52960,07008+1101,Z07008+1101,,HR 2649,HD 52960,K3III,6.955,1.657,7.07,1.7,07 03 38.0719,+10 57 06.540,Star,7,3,38.0719,10,57,6.54,105.9086329,10.95181667
0.348662,105.96493,12.59417,0703515+123539,7.742,0.02,3,1.839,0.0305,3,0,0,0,0,105.96493,12.59417,HD52976,07010+1240,Z07010+1240,,HR 2651,HD 52976,K6III,5.81,1.433,5.53,1.45,07 03 51.5990,+12 35 39.273,Star,7,3,51.599,12,35,39.273,105.9649958,12.5942425
0.455328,112.44912,12.00644,0729477+120023,13.19,0.0549,3,2.841,0.0142,3,0,0,0,0,112.44912,12.00644,HD59294,07270+1206,F07270+1206,6 CMI,HR 2864,HD 59294,K1III,9.693,2.319,9.53,2.33,07 29 47.7829,+12 00 23.631,Variable star,7,29,47.7829,12,0,23.631,112.4490954,12.00656417
0.354568,9.19338,44.48863,0036464+442919,20.65,0.179,3,4.664,0.204,3,0,0,0,0,9.19338,44.48863,HD3346,00340+4412,F00340+4412,,HR 152,HD 3346,K6III,15.86,3.718,15.7,3.73,00 36 46.4410,+44 29 18.913,Variable star,0,36,46.441,44,29,18.913,9.193504167,44.48858694
0.293722,78.32287,2.86119,0513174+025140,11.23,0.115,3,2.486,0.0203,3,0,0,0,0,78.32287,2.86119,HD33856,05107+0248,F05106+0248,RHO ORI,HR 1698,HD 33856,K1III,8.941,1.988,9.01,1.95,05 13 17.4814,+02 51 40.556,Spectroscopic binary,5,13,17.4814,2,51,40.556,78.32283917,2.861265556
0.584356,85.61918,1.47452,0542286+012828,8.528,0.015,3,,,0,0,,0,,85.61918,1.47452,HD37984,05398+0127,F05398+0127,51 ORI,HR 1963,HD 37984,K1III,6.61,1.486,6.76,1.6,05 42 28.6321,+01 28 28.664,Star,5,42,28.6321,1,28,28.664,85.61930042,1.474628889
0.153278,47.82242,39.61154,0311173+393641,8.638,0.0394,3,1.962,0.05,3,0,0,0,0,47.82242,39.61154,HD19656,03080+3925,F03080+3925,OME PER,HR 947,HD 19656,K1III,6.248,1.472,6.28,1.51,03 11 17.3816,+39 36 41.697,Star in double system,3,11,17.3816,39,36,41.697,47.82242333,39.6115825
0.591517,165.0615,45.5263,1100147+453134,9.58,0.0285,3,2.211,0.041,3,0,0,0,0,165.0615,45.5263,HD95212,10573+4547,F10573+4547,,HR 4280,HD 95212,K5III,7.109,1.639,7.05,1.7,11 00 14.7043,+45 31 34.595,Star,11,0,14.7043,45,31,34.595,165.0612679,45.52627639
0.636216,160.76648,69.07609,1043039+690433,12.67,0.051,3,2.85,0.0513,3,0,0,0,0,160.76648,69.07609,HD92523,10395+6920,F10395+6920,,HR 4181,HD 92523,K3III,10.1,2.332,9.94,2.28,10 43 04.0399,+69 04 34.370,Star,10,43,4.0399,69,4,34.37,160.7668329,69.07621389
0.695780,186.73432,28.26828,1226562+281605,10.65,0.0685,3,2.38,0.0428,3,0,0,0,0,186.73432,28.26828,HD108381,12244+2832,F12244+2832,GAM COM,HR 4737,HD 108381,K1III,7.907,1.906,8.55,1.88,12 26 56.2723,+28 16 06.322,Star in cluster,12,26,56.2723,28,16,6.322,186.7344679,28.26842278
1.150562,10.1273,56.53714,0040305+563213,83.65,0.711,3,17.32,0.119,3,0,0,0,0,10.1273,56.53714,HD3712,00376+5615,Z00376+5615,ALP CAS,HR 168,HD 3712,K0-IIIa,60.29,14.23,64.6,13.6,00 40 30.4405,+56 32 14.392,Variable star,0,40,30.4405,56,32,14.392,10.12683542,56.53733111
0.093225,142.9301,22.96795,0931432+225804,37.02,0.169,3,8.145,0.0939,3,0,0,0,0,142.9301,22.96795,HD82308,09288+2311,F09288+2311,LAM LEO,HR 3773,HD 82308,K4.5IIIb,29.06,6.406,29.1,6.44,09 31 43.2281,+22 58 04.694,Variable star,9,31,43.2281,22,58,4.694,142.9301171,22.96797056
0.530821,142.98989,9.71562,0931575+094256,10.64,0.0176,3,2.324,0.0515,3,0,0,0,0,142.98989,9.71562,HD82381,09292+0956,F09292+0956,6 LEO,HR 3779,HD 82381,K2.5IIIb,8.584,1.838,8.65,1.92,09 31 57.5773,+09 42 56.760,Star in double system,9,31,57.5773,9,42,56.76,142.9899054,9.715766667
0.296056,196.79469,27.62466,1307107+273728,19.29,0.0854,3,4.366,0.0631,3,0,0,0,0,196.79469,27.62466,HD113996,13047+2753,F13047+2753,41 COM,HR 4954,HD 113996,K5-III,14.21,3.483,14.3,3.45,13 07 10.7297,+27 37 29.067,Star,13,7,10.7297,27,37,29.067,196.7947071,27.62474083
0.393311,191.6616,16.57775,1246387+163439,9.584,0.0338,3,2.149,0.0228,3,0,0,0,0,191.6616,16.57775,HD111067,12441+1650,F12441+1651,27 COM,HR 4851,HD 111067,K3III,6.694,1.675,6.71,1.67,12 46 38.7609,+16 34 39.689,Star,12,46,38.7609,16,34,39.689,191.6615038,16.57769139
0.366267,172.85064,69.33105,1131241+691951,75.94,0.875,3,16.78,0.0558,3,0,0,0,0,172.85064,69.33105,HD100029,11284+6936,F11284+6936,LAM DRA,HR 4434,HD 100029,M0III,54.7,13.84,54.3,13.9,11 31 24.2205,+69 19 51.873,Semi-regular pulsating star,11,31,24.2205,69,19,51.873,172.8509188,69.33107583
0.608723,247.80609,22.19558,1631134+221144,11.35,0.0348,3,2.611,0.035,3,0,0,0,0,247.80609,22.19558,HD149009,16290+2218,F16290+2218,,HR 6154,HD 149009,K5III,7.929,2.091,8.22,2.08,16 31 13.4313,+22 11 43.648,Star,16,31,13.4313,22,11,43.648,247.8059638,22.19545778
0.149415,187.83924,7.60435,1231214+073615,6.464,0.0486,3,1.518,0.054,3,0,0,0,0,187.83924,7.60435,HD108985,12288+0752,F12287+0752,,HR 4770,HD 108985,K5III,4.743,1.214,4.67,1.28,12 31 21.4158,+07 36 15.513,Star,12,31,21.4158,7,36,15.513,187.8392325,7.604309167
0.174109,191.89306,66.79035,1247343+664725,13.89,0.0592,3,3.16,0.016,3,0,0,0,0,191.89306,66.79035,HD111335,12455+6703,F12455+6703,7 DRA,HR 4863,HD 111335,K5III,10.28,2.579,10.5,2.69,12 47 34.3438,+66 47 25.095,Star,12,47,34.3438,66,47,25.095,191.8930992,66.79030417
0.233499,259.905,80.13639,1719372+800810,7.422,0.0232,3,1.746,0.0221,3,0,0,0,0,259.905,80.13639,HD158996,17233+8010,F17234+8010,,HR 6529,HD 158996,K5III,5.449,1.298,5.64,1.4,17 19 37.1101,+80 08 11.038,Star,17,19,37.1101,80,8,11.038,259.9046254,80.13639944
1.189987,214.93816,16.30707,1419451+161825,8.425,0.0335,3,1.92,0.0316,3,0,0,0,0,214.93816,16.30707,HD125560,14173+1632,F14173+1632,20 BOO,HR 5370,HD 125560,K3III,6.226,1.582,6.12,1.55,14 19 45.2352,+16 18 25.012,Variable star,14,19,45.2352,16,18,25.012,214.93848,16.30694778
0.099173,237.18488,18.14158,1548443+180829,62.72,0.341,3,13.74,0.0752,3,0,0,0,0,237.18488,18.14158,HD141477,15464+1817,F15464+1817,KAP SER,HR 5879,HD 141477,M0.5IIIab,44.45,10.85,44.3,11.6,15 48 44.3768,+18 08 29.629,Variable star,15,48,44.3768,18,8,29.629,237.1849033,18.14156361
0.605297,197.44919,16.84863,1309478+165055,6.868,0.0423,3,1.598,0.0546,3,0,0,0,0,197.44919,16.84863,HD114326,13073+1706,F13073+1706,,HR 4962,HD 114326,K5III,4.966,1.249,4.95,1.25,13 09 47.8475,+16 50 55.001,Star,13,9,47.8475,16,50,55.001,197.4493646,16.84861139
1.227266,219.55199,43.64219,1438124+433831,8.463,0.0262,3,1.937,0.0309,3,0,0,0,0,219.55199,43.64219,HD128902,14363+4351,F14363+4351,,HR 5464,HD 128902,K2III,6.329,1.518,6.5,1.51,14 38 12.5889,+43 38 31.669,Star,14,38,12.5889,43,38,31.669,219.5524538,43.64213028
0.847684,268.38249,56.87282,1753317+565222,22.92,0.0462,3,4.888,0.0131,3,0,0,0,0,268.38249,56.87282,HD163588,17526+5652,F17526+5652,XI DRA,HR 6688,HD 163588,K2III,16.72,4.075,16.9,4.14,17 53 31.7295,+56 52 21.514,Star in double system,17,53,31.7295,56,52,21.514,268.3822063,56.87264278
0.525223,261.62871,4.14022,1726308+040824,25.61,0.0174,3,5.613,0.0552,3,0,0,0,0,261.62871,4.14022,HD157999,17240+0410,F17240+0410,SIG OPH,HR 6498,HD 157999,K2II,18.64,4.869,18.7,4.71,17 26 30.8803,+04 08 25.295,Variable star,17,26,30.8803,4,8,25.295,261.6286679,4.140359722
0.420259,260.0879,46.24087,1720210+461427,13.35,0.0449,3,3.055,0.0303,3,0,0,0,0,260.0879,46.24087,HD157325,17189+4617,F17189+4617,74 HER,HR 6464,HD 157325,M0III,10.07,2.515,9.83,2.52,17 20 21.1218,+46 14 26.808,Variable star,17,20,21.1218,46,14,26.808,260.0880075,46.24078
1.967050,254.41652,9.37499,1657399+092229,34.35,0.214,3,7.217,0.102,3,0,0,0,0,254.41652,9.37499,HD153210,16552+0927,F16552+0927,KAP OPH,HR 6299,HD 153210,K2III,24.91,5.762,25.0,5.72,16 57 40.0973,+09 22 30.118,Variable star,16,57,40.0973,9,22,30.118,254.4170721,9.375032778
0.303681,198.1371,11.55605,1312329+113321,10.65,0.0391,3,2.476,0.0347,3,0,0,0,0,198.1371,11.55605,HD114780,13100+1149,F13100+1149,,HR 4986,HD 114780,M0III,8.333,2.104,8.13,2.14,13 12 32.9213,+11 33 21.946,Star,13,12,32.9213,11,33,21.946,198.1371721,11.55609611
0.029712,193.05108,17.07394,1252122+170426,7.19,0.0404,3,1.644,0.0205,3,0,0,0,0,193.05108,17.07394,HD111862,12497+1720,F12497+1720,32 COM,HR 4884,HD 111862,M0III,5.273,1.32,5.23,1.38,12 52 12.2573,+17 04 26.196,Star in double system,12,52,12.2573,17,4,26.196,193.0510721,17.07394333
0.201698,240.52322,52.91596,1602055+525457,6.979,0.0163,3,1.608,0.018,3,0,0,0,0,240.52322,52.91596,HD144204,16008+5303,F16008+5303,,HR 5981,HD 144204,K5III,5.285,1.328,5.31,1.34,16 02 05.5584,+52 54 57.302,Star,16,2,5.5584,52,54,57.302,240.52316,52.91591722
0.790409,167.41558,44.49841,1109397+442954,42.58,0.393,3,9.11,0.126,3,0,0,0,0,167.41558,44.49841,HD96833,11068+4446,F11068+4446,PSI UMA,HR 4335,HD 96833,K1III,30.35,7.266,31.0,7.41,11 09 39.8084,+44 29 54.553,Star,11,9,39.8084,44,29,54.553,167.4158683,44.49848694
0.570001,237.81621,20.97806,1551158+205841,23.5,0.124,3,5.196,0.0576,3,0,0,0,0,237.81621,20.97806,HD141992,15490+2107,F15490+2107,RHO SER,HR 5899,HD 141992,K4.5III,17.53,4.239,18.1,4.27,15 51 15.9090,+20 58 40.509,Variable star,15,51,15.909,20,58,40.509,237.8162875,20.97791917
