angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,Cohen,IRAS PSC,IRAS FSC,Name,HR #,HD #,SpectralTypes,12[Jy],25[Jy],12[Jy],25[Jy],R.A.,Decl.,CommentOnSIMBAD,R.A.(h),R.A.(m),R.A.(s),Decl.(deg),Decl.(m),Decl.(s),ra,dec
0.392548,J054228.60+012828.6,85.6191914,+1.4746251,0.0256,0.0226,126.4,0.830,0.270,2.102,2.026,2.918,2.365,2.212,,,0.015,0.018,0.294,0.234,0.264,862101501351031919,hh00,0,nn20,UUAA,885,43,212,42,0.619,HD37984,05398+0127,F05398+0127,51 ORI,HR 1963,HD 37984,K1III,6.61,1.486,6.76,1.6,05 42 28.6321,+01 28 28.664,Star,5,42,28.6321,1,28,28.664,85.61930042,1.474628889
0.609614,J055102.47+371819.6,87.7603142,+37.3054599,0.0469,0.0144,78.6,-2.191,-1.436,0.486,0.455,1.748,0.865,0.677,,,0.014,0.009,0.278,0.170,0.190,871137801351000001,HHHH,0,nnnn,UUAA,306,70,-145,35,0.543,HD38944,05476+3717,Z05476+3717,UPS AUR,HR 2011,HD 38944,M0III,26.56,6.493,26.7,6.79,05 51 02.4374,+37 18 20.063,Variable star,5,51,2.4374,37,18,20.063,87.76015583,37.30557306
0.144245,J055129.39+390854.6,87.8724879,+39.1485199,0.0186,0.0152,62.4,-1.184,-0.430,1.415,1.403,2.179,1.666,1.522,,,0.014,0.013,0.332,0.194,0.204,870139301351023426,hh00,0,nn10,UUAA,1212,40,-541,32,0.188,HD39003,05480+3908,Z05480+3908,NUU AUR,HR 2012,HD 39003,K0III,11.88,2.548,11.7,2.63,05 51 29.3990,+39 08 54.529,Star in double system,5,51,29.399,39,8,54.529,87.87249583,39.14848028
0.158617,J055226.44+015118.4,88.1102045,+1.8551276,0.0202,0.0143,7.7,-0.760,-0.078,1.685,1.573,2.575,1.971,1.796,,,0.017,0.016,0.296,0.248,0.278,877101501351037826,HHHH,0,nnnn,UUAA,825,33,151,28,0.064,HD39400,05498+0150,F05498+0150,56 ORI,HR 2037,HD 39400,K1.5IIb,10.81,2.343,10.7,2.47,05 52 26.4386,+01 51 18.482,Variable star,5,52,26.4386,1,51,18.482,88.11016083,1.855133889
1.630718,J055931.76+541703.5,89.8823465,+54.2843238,0.0426,0.0202,101.9,-1.098,-0.479,1.380,1.381,2.039,1.523,1.380,,,0.031,0.019,0.250,0.166,0.232,893154501351020868,HHHH,0,nnnn,UUAA,1398,41,242,37,1.858,HD40035,05554+5416,F05554+5416,DEL AUR,HR 2077,HD 40035,K0-III,11.53,2.704,11.7,2.68,05 59 31.6366,+54 17 04.762,Star in double system,5,59,31.6366,54,17,4.762,89.88181917,54.28465611
4.466751,J060703.66-615047.5,91.7652665,-61.8465368,0.0722,0.0698,162.2,15.642,15.565,13.549,9.880,16.452,15.664,15.593,0.030,0.053,,,0.126,0.148,0.236,915062101351042677,0000,0,0nnn,AAUU,194,170,104,182,0.370,HD42540,06065-6208,F06066-6208,SAO 249451,HR 2196,HD 42540,K2.5III,5.907,1.438,6.33,1.49,06 07 03.3896,-62 09 16.490,Variable star,6,7,3.3896,-62,9,16.49,91.76412333,-61.84541944
0.315650,J064028.96+775944.6,100.1206768,+77.9957352,0.0380,0.0318,28.2,0.869,1.045,2.271,2.171,3.262,2.546,2.276,,,0.023,0.019,0.214,0.188,0.230,1008178701351005342,hh00,0,nn10,UUAA,614,39,-674,39,0.314,HD45866,06327+7802,F06327+7802,,HR 2363,HD 45866,K5III,5.322,1.327,5.45,1.34,06 40 28.8772,+77 59 44.817,Star,6,40,28.8772,77,59,44.817,100.1203217,77.9957825
0.350097,J063919.82+422919.6,99.8325914,+42.4887806,0.0298,0.0206,115.5,0.166,0.266,2.066,1.955,2.702,2.136,1.931,,,0.016,0.022,0.246,0.200,0.214,991142401351024809,h000,0,nn21,UUAA,-142,46,466,42,0.471,HD47174,06357+4232,F06357+4232,PSI 2 AUR,HR 2427,HD 47174,K2-III,7.349,1.572,7.7,1.63,06 39 19.8263,+42 29 19.957,Star in double system,6,39,19.8263,42,29,19.957,99.83260958,42.48887694
0.143667,J064304.95+443128.0,100.7706608,+44.5244609,0.0840,0.0758,28.3,-0.778,-0.524,1.625,1.413,2.701,1.984,1.709,,,0.071,0.021,0.298,0.212,0.226,998143901351049336,hh00,0,nnn0,UUAA,1170,97,1160,82,0.312,HD47914,06394+4434,F06394+4434,PSI 4 AUR,HR 2459,HD 47914,K5III,10.48,2.572,11.1,2.71,06 43 04.9715,+44 31 28.020,Star,6,43,4.9715,44,31,28.02,100.7707146,44.52445
0.427763,J064359.29+131340.4,100.9970484,+13.2278985,0.0405,0.0232,116.1,-0.729,-0.279,1.805,1.709,2.601,2.013,1.861,,,0.022,0.016,0.274,0.184,0.242,1008113601351018038,hh00,0,nn10,UUAA,654,45,93,40,0.668,HD48433,06411+1316,Z06411+1316,30 GEM,HR 2478,HD 48433,K0.5III,8.245,1.959,8.48,1.99,06 43 59.2927,+13 13 40.862,Star in double system,6,43,59.2927,13,13,40.862,100.9970529,13.22801722
0.176744,J064751.64+022443.6,101.9651914,+2.4121121,0.0365,0.0303,174.6,-0.334,0.115,2.043,1.929,2.571,2.007,1.849,,,0.026,0.013,0.232,0.208,0.194,1013103001351000002,hh00,0,nn20,UUAA,525,47,97,45,0.106,HD49293,06452+0228,Z06452+0228,18 MON,HR 2506,HD 49293,K0+IIIa,7.054,1.625,7.25,1.7,06 47 51.6493,+02 24 43.773,Star,6,47,51.6493,2,24,43.773,101.9652054,2.412159167
0.104820,J065159.98+233606.2,102.9999230,+23.6017394,0.0312,0.0245,2.3,0.473,1.072,2.315,2.147,3.076,2.378,2.217,,,0.020,0.018,0.260,0.218,0.246,1023124201351000002,hh00,0,nn20,UUAA,1074,44,833,41,0.343,HD49968,06489+2339,F06489+2339,,HR 2533,HD 49968,K5III,5.639,1.394,5.83,1.42,06 51 59.9867,+23 36 06.185,Star,6,51,59.9867,23,36,6.185,102.9999446,23.60171806
0.532769,J070338.10+105706.3,105.9087744,+10.9517656,0.0315,0.0235,7.0,0.212,0.204,1.981,1.879,2.873,2.207,2.044,,,0.024,0.020,0.222,0.240,0.252,1061110601351042533,hh00,0,nn41,UUAA,1971,52,131,41,0.277,HD52960,07008+1101,Z07008+1101,,HR 2649,HD 52960,K3III,6.955,1.657,7.07,1.7,07 03 38.0719,+10 57 06.540,Star,7,3,38.0719,10,57,6.54,105.9086329,10.95181667
0.049664,J070351.59+123539.3,105.9649915,+12.5942556,0.0163,0.0153,123.7,0.595,0.496,2.250,2.101,3.395,2.593,2.305,,,0.011,0.019,0.264,0.200,0.278,1066112101351062918,hh00,0,nn11,UUAA,294,42,353,34,0.091,HD52976,07010+1240,Z07010+1240,,HR 2651,HD 52976,K6III,5.81,1.433,5.53,1.45,07 03 51.5990,+12 35 39.273,Star,7,3,51.599,12,35,39.273,105.9649958,12.5942425
0.136648,J070547.25+312335.6,106.4468957,+31.3932487,0.0350,0.0232,106.1,0.227,0.505,2.077,1.936,3.306,2.408,2.198,,,0.021,0.022,0.234,0.198,0.226,1058131801351022473,hh00,0,nn00,UUAA,510,47,109,45,0.069,HD53287,07025+3128,F07025+3128,,,HD 53287,M0III,6.625,1.627,6.43,1.72,07 05 47.2485,+31 23 35.804,Star,7,5,47.2485,31,23,35.804,106.4468688,31.39327889
0.431719,J070539.04+091108.5,106.4126840,+9.1857071,0.0220,0.0192,146.5,0.306,0.569,2.088,2.021,3.135,2.330,2.109,,,0.016,0.021,0.250,0.236,0.248,1057109001351027018,hh00,0,nn30,UUAA,-552,43,-830,37,0.334,HD53510,07029+0915,Z07029+0915,,HR 2663,HD 53510,M0III,6.074,1.505,6.22,1.56,07 05 39.0258,+09 11 08.881,Star,7,5,39.0258,9,11,8.881,106.4126075,9.185800278
0.532881,J071139.37+391914.0,107.9140469,+39.3205677,0.0287,0.0175,3.6,-1.091,-0.268,1.536,1.380,2.559,1.833,1.605,,,0.024,0.016,0.232,0.182,0.258,1083139301351033397,HHHH,0,nnnn,UUAA,458,34,188,32,0.590,HD54716,07082+3924,F07082+3924,63 AUR,HR 2696,HD 54716,K3.5III,11.19,2.717,11.2,2.7,07 11 39.3257,+39 19 13.976,Star,7,11,39.3257,39,19,13.976,107.9138571,39.32054889
0.345111,J072156.83+202637.1,110.4868181,+20.4436465,0.0485,0.0261,30.5,-1.173,-0.658,1.459,1.257,2.308,1.494,1.285,,,0.040,0.014,0.274,0.156,0.200,1104119601351053892,hhHH,0,nnnn,UUAA,1052,43,532,40,0.807,HD57423,07189+2032,F07189+2032,56 GEM,HR 2795,HD 57423,M0IIIab,12.62,2.962,12.8,3.19,07 21 56.8607,+20 26 37.170,Variable star,7,21,56.8607,20,26,37.17,110.4869196,20.44365833
0.578676,J072457.12+515313.6,111.2380340,+51.8871361,0.0232,0.0160,137.0,-0.329,0.455,1.942,1.821,2.909,2.136,1.856,,,0.013,0.018,0.204,0.178,0.192,1120151401351038713,hh00,0,nn20,UUAA,1146,39,-554,37,0.668,HD57646,07210+5159,F07210+5159,,HR 2804,HD 57646,K5III,7.515,1.849,7.43,1.99,07 24 57.0877,+51 53 14.131,Star,7,24,57.0877,51,53,14.131,111.2378654,51.88725861
0.170549,J072947.78+120023.4,112.4491075,+12.0065183,0.0339,0.0212,176.9,-0.625,-0.192,1.729,1.579,2.403,1.764,1.714,,,0.024,0.018,0.214,0.184,0.202,1127112101351033672,HHHH,0,nnnn,UUAA,88,38,423,37,0.103,HD59294,07270+1206,F07270+1206,6 CMI,HR 2864,HD 59294,K1III,9.693,2.319,9.53,2.33,07 29 47.7829,+12 00 23.631,Variable star,7,29,47.7829,12,0,23.631,112.4490954,12.00656417
1.016414,J073555.33+265343.6,113.9805604,+26.8954620,0.0521,0.0376,11.1,-1.900,-1.304,0.287,0.187,1.031,0.282,0.232,,,0.055,0.010,0.240,0.194,0.208,1132127201351021278,hh00,0,nn00,UUAA,164,73,18,63,1.274,HD60522,07328+2700,F07328+2700,UPS GEM,HR 2905,HD 60522,M0III-IIIb,36.43,8.48,35.5,8.28,07 35 55.3464,+26 53 44.667,Variable star,7,35,55.3464,26,53,44.667,113.98061,26.89574083
0.228300,J074014.67+382040.4,115.0611581,+38.3445805,0.0337,0.0268,123.5,-0.474,0.060,1.722,1.602,2.668,1.843,1.688,,,0.022,0.022,0.220,0.190,0.220,1155137801351058541,hh00,0,nn30,UUAA,1013,50,1115,46,0.474,HD61294,07368+3827,F07368+3827,,HR 2935,HD 61294,M0III,9.12,2.276,9.11,2.36,07 40 14.6925,+38 20 40.339,Variable star,7,40,14.6925,38,20,40.339,115.0612188,38.34453861
0.373238,J073928.61+174028.2,114.8692427,+17.6745015,0.0679,0.0446,27.0,-1.405,-0.886,1.029,1.008,2.019,1.201,1.147,,,0.065,0.018,0.292,0.218,0.186,1141118101351000001,HHHH,0,nnnn,UUAA,757,61,-610,43,0.248,HD61338,07366+1747,F07365+1747,74 GEM,HR 2938,HD 61338,K5III,16.37,3.95,16.2,4.05,07 39 28.5925,+17 40 28.268,Variable star,7,39,28.5925,17,40,28.268,114.8691354,17.67451889
0.253866,J074058.53+230106.6,115.2439023,+23.0185179,0.0252,0.0231,6.1,0.482,0.446,2.255,2.148,3.135,2.418,2.179,,,0.013,0.021,0.268,0.224,0.278,1156122701351042297,hh00,0,nn20,UUAA,1084,42,838,41,0.187,HD61603,07379+2308,F07380+2307,,HR 2951,HD 61603,K5III,6.092,1.356,5.82,1.48,07 40 58.5183,+23 01 06.696,Star,7,40,58.5183,23,1,6.696,115.2438263,23.01852667
4.870640,J074114.75-082700.6,115.3114893,-8.4501864,0.3889,0.3576,177.8,17.178,17.282,12.664,9.028,,,,0.123,0.504,,,,,,1148009101351058536,0000,0,nnnn,BCUU,-891,1533,-902,1664,,HD61935,07388-0926,Z07388-0926,ALP MON,HR 2970,HD 61935,K0III,10.32,2.461,10.2,2.37,07 41 14.8324,-09 33 04.071,Star,7,41,14.8324,-9,33,4.071,115.3118017,-8.448869167
2.716173,J074318.81+285258.1,115.8283769,+28.8828202,0.0164,0.0150,88.9,-1.023,-0.404,1.556,1.487,2.328,1.799,1.736,,,0.013,0.014,0.320,0.192,0.202,1165128701351035990,HHHH,1,nnnn,UUAA,1898,33,-5,28,2.968,HD62044,07401+2900,F07402+2900,SIG GEM,HR 2973,HD 62044,K1III,11.72,2.531,12.4,2.47,07 43 18.7265,+28 53 00.635,Variable of RS CVn type,7,43,18.7265,28,53,0.635,115.8280271,28.88350972
0.312623,J074406.92+254702.7,116.0288657,+25.7840872,0.0282,0.0152,168.3,-1.008,-0.189,1.589,1.500,2.583,1.738,1.746,,,0.016,0.013,0.244,0.210,0.210,1166125701351033101,hh00,0,nn41,UUAA,1586,44,100,42,0.298,HD62285,07410+2554,F07410+2554,76 GEM,HR 2983,HD 62285,K4.5III,10.82,2.407,10.9,2.47,07 44 06.9147,+25 47 02.972,Variable star,7,44,6.9147,25,47,2.972,116.0288113,25.78415889
3.008584,J073603.35-762156.7,114.0139832,-76.3657690,0.4291,0.3815,117.9,17.992,18.181,13.274,9.583,,,,0.136,,,,,,,1161075801351010462,0h00,0,nnnn,BUUU,-35,2072,-496,1953,,HD62689,07381-7731,F07382-7731,SAO 256431,HR 3000,HD 62689,M0III,5.923,1.333,6.04,1.4,07 36 04.1977,-77 38 02.791,Star,7,36,4.1977,-77,38,2.791,114.0174904,-76.36589139
0.692334,J074607.40+183035.9,116.5308416,+18.5099734,0.0367,0.0199,4.2,-1.426,-0.691,1.393,1.199,2.065,1.277,1.238,,,0.027,0.017,0.278,0.190,0.182,1157118101351048225,hh00,0,nn00,UUAA,164,39,1035,39,0.733,HD62721,07432+1837,F07432+1837,81 GEM,HR 3003,HD 62721,K5III,13.67,3.299,13.6,3.29,07 46 07.4473,+18 30 36.157,Star,7,46,7.4473,18,30,36.157,116.5310304,18.51004361
2.859137,J074149.41-712340.8,115.4559120,-71.3946680,0.0919,0.0839,90.3,16.080,15.075,12.204,9.438,,,,0.038,0.047,0.143,,,,,1170071201351013435,ddHH,0,64nn,AABU,353,196,424,175,,HD63295,07424-7229,F07424-7229,ZET VOL,HR 3024,HD 63295,K0III,10.24,2.438,11.0,2.46,07 41 49.2612,-72 36 21.953,Star in double system,7,41,49.2612,-72,36,21.953,115.455255,-71.39390194
0.476814,J080011.68+735504.0,120.0486683,+73.9178049,0.0246,0.0160,16.7,-0.260,0.338,2.106,1.961,3.003,2.279,2.085,,,0.013,0.014,0.286,0.234,0.260,1217174201351013196,hh00,0,nnn0,UUAA,606,32,86,35,0.495,HD64307,07542+7403,F07543+7403,,HR 3075,HD 64307,K3III,6.442,1.592,6.33,1.63,08 00 11.7384,+73 55 04.509,Star,8,0,11.7384,73,55,4.509,120.04891,73.91791917
1.152192,J080215.93+022005.6,120.5663862,+2.3348901,0.0360,0.0264,139.5,-1.166,-0.650,1.416,1.318,2.199,1.553,1.447,,,0.034,0.013,0.282,0.268,0.308,1210103001351007701,HHHH,0,nnnn,UUAA,876,44,270,34,1.209,HD66141,07596+0228,F07596+0228,,HR 3145,HD 66141,K2IIIb,12.12,2.854,12.2,2.91,08 02 15.9369,+02 20 04.454,Star in double system,8,2,15.9369,2,20,4.454,120.5664038,2.334570556
1.051230,J082250.08+431116.2,125.7086854,+43.1878487,0.0919,0.0825,167.1,-1.891,-1.052,0.535,0.467,1.263,0.453,0.375,,,0.107,0.021,0.298,0.166,0.178,1248143901351000001,hh00,0,nn00,UUAA,-701,91,62,74,1.082,HD70272,08194+4320,F08193+4321,31 LYN,HR 3275,HD 70272,K4.5III,27.53,6.495,28.5,6.55,08 22 50.1096,+43 11 17.270,Variable star,8,22,50.1096,43,11,17.27,125.70879,43.18813056
0.938992,J082627.69+275335.9,126.6154050,+27.8933239,0.0264,0.0235,177.3,1.131,0.871,2.319,2.218,3.209,2.519,2.388,,,0.014,0.018,0.260,0.218,0.254,1267127201351058344,hh00,0,nn41,UUAA,1185,42,812,39,1.054,HD71093,08234+2803,F08233+2803,PHI 1 CNC,HR 3304,HD 71093,K5III,5.207,1.368,5.22,1.31,08 26 27.7052,+27 53 36.899,Star in double system,8,26,27.7052,27,53,36.899,126.6154383,27.89358306
4.490085,J082543.61-655149.9,126.4317404,-65.8638775,0.2145,0.1948,61.7,17.380,16.035,13.073,9.623,,,,0.090,0.087,0.390,,,,,1258065201351004070,0000,0,nnnn,AACU,435,550,-292,514,,HD71878,08252-6558,F08251-6558,BET VOL,HR 3347,HD 71878,K1III,14.57,3.641,14.5,3.6,08 25 44.1946,-66 08 12.805,Variable star,8,25,44.1946,-66,8,12.805,126.4341442,-65.86310972
0.611888,J083135.69+180539.5,127.8987380,+18.0943115,0.0407,0.0336,159.1,-0.893,-0.242,1.408,1.252,,,,,,0.039,0.018,,,,1284118101351032650,hh00,0,nn10,UUAA,284,50,605,39,,HD72094,08287+1815,F08287+1815,THE CNC,HR 3357,HD 72094,K5III,13.69,2.982,13.2,3.08,08 31 35.7301,+18 05 39.913,Star in double system,8,31,35.7301,18,5,39.913,127.8988754,18.09442028
0.472336,J084012.78+641940.9,130.0532719,+64.3280527,0.0218,0.0163,7.2,-0.342,0.100,1.817,1.755,2.619,2.021,1.734,,,0.016,0.021,0.290,0.186,0.218,1288163601351051248,hh00,0,nn30,UUAA,1531,39,537,33,0.438,HD73108,08358+6430,F08358+6430,PI 2 UMA,HR 3403,HD 73108,K1+IIIb,8.34,2.039,8.28,1.95,08 40 12.8186,+64 19 40.570,Star,8,40,12.8186,64,19,40.57,130.0534108,64.32793611
0.516351,J083845.46+032028.7,129.6894166,+3.3413258,0.0298,0.0215,153.7,-0.604,-0.114,1.753,1.693,2.501,2.013,1.872,,,0.022,0.014,0.292,0.250,0.256,1300103001351041342,hh00,0,nn31,UUAA,1415,39,-766,36,0.633,HD73471,08361+0331,F08361+0331,SIG HYA,HR 3418,HD 73471,K1III,8.683,2.067,8.4,2.1,08 38 45.4377,+03 20 29.167,Star,8,38,45.4377,3,20,29.167,129.6893238,3.341435278
4.193509,J083840.41-181550.9,129.6683811,-18.2641620,0.0570,0.0548,158.0,13.948,13.883,12.587,8.922,14.969,14.261,14.054,0.026,0.036,,,0.039,0.026,0.062,1300018201351034637,0O00,0,0nnn,AAUU,9,100,-138,109,0.123,HD73603,08364-1933,F08364-1933,,HR 3425,HD 73603,K5III,7.529,1.921,7.46,1.9,08 38 40.2927,-19 44 12.854,Star,8,38,40.2927,-19,44,12.854,129.6678863,-18.26309611
2.224438,J084441.10+180913.2,131.1712680,+18.1536910,0.0458,0.0259,126.0,-0.925,-0.208,1.471,1.450,2.209,1.685,1.567,,,0.026,0.018,0.294,0.178,0.204,1316118101351031606,hh00,0,nn20,UUAA,1127,54,603,57,2.557,HD74442,08418+1820,F08418+1820,DEL CNC,HR 3461,HD 74442,K0IIIb,11.32,2.585,11.2,2.6,08 44 41.0996,+18 09 15.511,High proper-motion star,8,44,41.0996,18,9,15.511,131.1712483,18.15430861
3.633442,J085248.09-371629.7,133.2004095,-37.2749398,0.1525,0.1415,13.3,16.123,16.847,12.914,9.377,,,,0.050,0.281,,,,,,1326037901351059551,0000,0,1nnn,ABUU,145,508,647,541,,HD76110,08508-3832,Z08508-3832,SAO 199737,HR 3535,HD 76110,M0III,9.191,2.361,9.17,2.34,08 52 48.0183,-38 43 26.711,Star,8,52,48.0183,-38,43,26.711,133.2000763,-37.27591361
0.426270,J085555.56+113733.3,133.9815387,+11.6259424,0.0269,0.0202,92.8,0.228,0.024,2.191,2.114,3.150,2.431,2.252,,,0.013,0.015,0.274,0.234,0.272,1344112101351007501,hhh0,0,nn30,UUAA,1401,38,-292,37,0.223,HD76351,08531+1149,F08531+1149,60 CNC,HR 3550,HD 76351,K5III,6.051,1.267,6.38,1.26,08 55 55.5481,+11 37 33.684,Variable star,8,55,55.5481,11,37,33.684,133.9814504,11.62602333
0.716257,J090823.52+665222.9,137.0980053,+66.8730391,0.0377,0.0280,146.9,-1.024,-0.636,1.483,1.413,2.657,1.931,1.701,,,0.026,0.015,0.236,0.192,0.198,1373166601351044928,hh00,0,nn41,UUAA,1125,42,-702,39,0.680,HD77800,09040+6704,F09040+6704,SIG 1 UMA,HR 3609,HD 77800,K5III,10.76,2.63,11.3,2.65,09 08 23.4990,+66 52 23.645,Star,9,8,23.499,66,52,23.645,137.0979125,66.87323472
0.073509,J090558.37+050532.3,136.4932102,+5.0923291,0.0300,0.0156,117.7,0.759,0.687,2.215,2.125,3.133,2.589,2.402,,,0.015,0.022,0.300,0.220,0.278,1367104501351058328,hh00,0,nn30,UUAA,1166,41,538,36,0.052,HD77996,09033+0517,F09033+0517,OME HYA,HR 3613,HD 77996,K2II-III,5.791,1.432,5.95,1.41,09 05 58.3667,+05 05 32.337,Star,9,5,58.3667,5,5,32.337,136.4931946,5.092315833
0.417314,J091549.79+564428.6,138.9574929,+56.7412968,0.0372,0.0258,136.0,-1.043,-0.384,1.434,1.372,2.474,1.674,1.421,,,0.029,0.012,0.272,0.168,0.218,1386156001351055811,HHHH,0,nnnn,UUAA,1672,40,-476,37,0.441,HD79354,09121+5657,F09121+5656,17 UMA,HR 3660,HD 79354,K5III,11.81,2.787,11.5,2.77,09 15 49.7821,+56 44 29.064,Variable star,9,15,49.7821,56,44,29.064,138.9574254,56.74140667
0.348878,J091513.82+145629.3,138.8076248,+14.9414761,0.0334,0.0280,144.8,0.251,0.821,2.327,2.185,2.886,2.212,2.058,,,0.021,0.016,0.236,0.186,0.228,1393115101351010798,hh00,0,nn10,UUAA,346,46,456,42,0.328,HD79554,09124+1509,F09124+1509,PI 2 CNC,HR 3669,HD 79554,K1III,5.509,1.229,5.49,1.27,09 15 13.8528,+14 56 29.424,Star,9,15,13.8528,14,56,29.424,138.80772,14.94150667
2.133034,J092103.12+342333.3,140.2630384,+34.3925993,0.0365,0.0251,173.5,-1.510,0.753,-0.469,-0.731,0.120,-0.578,-0.656,,,0.365,0.005,0.220,0.170,0.172,1407134801351015430,HHHH,0,nnnn,UUCA,255,53,-823,70,2.774,HD80493,09180+3436,F09180+3436,ALP LYN,HR 3705,HD 80493,K7IIIab,83.78,19.64,86.9,19.6,09 21 03.3012,+34 23 33.223,Variable star,9,21,3.3012,34,23,33.223,140.263755,34.39256194
0.509790,J092439.25+261055.8,141.1635646,+26.1821832,0.0284,0.0210,176.6,-0.882,0.001,1.679,1.556,2.464,1.765,1.688,,,0.020,0.018,0.262,0.174,0.186,1416125701351043524,hh00,0,nn52,UUAA,1248,42,139,39,0.618,HD81146,09217+2623,F09217+2623,KAP LEO,HR 3731,HD 81146,K2III,9.814,2.317,9.83,2.36,09 24 39.2591,+26 10 56.367,Double or multiple star,9,24,39.2591,26,10,56.367,141.1635796,26.18232417
3.728654,J092718.67-213922.7,141.8277978,-21.6563303,0.0751,0.0511,33.7,13.472,13.262,9.647,7.621,15.626,14.687,14.290,0.034,0.040,0.054,0.219,0.103,0.111,0.117,1420021301351015819,hh00,4,nnnn,AAAB,429,55,565,60,1.956,HD81799,09250-2207,F09250-2207,,HR 3749,HD 81799,K2.5III,6.372,1.442,6.21,1.4,09 27 18.4056,-22 20 37.617,High proper-motion star,9,27,18.4056,-22,20,37.617,141.82669,-21.6562175
0.149987,J093705.25+811934.8,144.2718978,+81.3263453,0.0311,0.0178,49.5,-1.690,-0.846,1.014,0.898,1.698,0.890,0.779,,,0.028,0.017,0.248,0.186,0.232,1459181701351015195,hh00,0,nn10,UUAA,191,33,429,28,0.186,HD81817,09301+8132,F09300+8133,SAO 1551,HR 3751,HD 81817,K3IIIa,17.64,4.357,18.4,4.35,09 37 05.2871,+81 19 34.975,Star,9,37,5.2871,81,19,34.975,144.2720296,81.32638194
0.451473,J093143.24+225804.3,142.9301958,+22.9678682,0.0636,0.0588,46.8,-1.856,-0.703,0.511,0.502,1.449,0.610,0.586,,,0.078,0.014,0.268,0.190,0.204,1433122701351041705,HHHH,0,nnnn,UUAA,1734,94,259,66,0.701,HD82308,09288+2311,F09288+2311,LAM LEO,HR 3773,HD 82308,K4.5IIIb,29.06,6.406,29.1,6.44,09 31 43.2281,+22 58 04.694,Variable star,9,31,43.2281,22,58,4.694,142.9301171,22.96797056
0.282235,J093157.59+094256.8,142.9899836,+9.7157812,0.0343,0.0191,34.8,-0.561,0.182,1.950,1.784,2.891,2.170,1.984,,,0.023,0.016,0.296,0.228,0.286,1424109001351051845,hh00,0,nn30,UUAA,1632,40,277,36,0.243,HD82381,09292+0956,F09292+0956,6 LEO,HR 3779,HD 82381,K2.5IIIb,8.584,1.838,8.65,1.92,09 31 57.5773,+09 42 56.760,Star in double system,9,31,57.5773,9,42,56.76,142.9899054,9.715766667
1.665509,J093827.17+043857.1,144.6132474,+4.6491960,0.0464,0.0235,25.9,-1.126,-0.172,1.605,1.429,2.391,1.698,1.582,,,0.038,0.018,0.262,0.256,0.274,1443104501351028214,hh00,0,nn00,UUAA,330,38,875,41,1.643,HD83425,09358+0452,F09358+0452,,HR 3834,HD 83425,K3III,11.08,2.508,10.9,2.63,09 38 27.2883,+04 38 57.454,Star,9,38,27.2883,4,38,57.454,144.6137013,4.649292778
0.430970,J094135.14+311640.1,145.3964567,+31.2778206,0.0489,0.0385,80.7,-0.387,0.546,1.887,1.711,3.069,2.135,1.976,,,0.030,0.015,0.222,0.172,0.200,1447131801351000001,HHHH,0,nnnn,UUAA,594,62,353,43,0.583,HD83787,09386+3130,F09386+3130,,HR 3850,HD 83787,K6III,8.166,2.318,7.93,2.2,09 41 35.1160,+31 16.40.142 2000.0,variable star,9,41,35.116,31,16,40.1422,145.3963167,31.27781728
2.191468,J095245.65+260024.6,148.1902395,+26.0068398,0.0267,0.0140,1.4,-1.571,-0.507,1.291,1.169,1.974,1.327,1.364,,,0.020,0.009,0.238,0.174,0.224,1483125701351044827,hh00,0,nn11,UUAA,165,37,1118,40,2.642,HD85503,09499+2614,F09499+2614,MUU LEO,HR 3905,HD 85503,K2III,14.53,3.395,14.6,3.5,09 52 45.8173,+26 00 25.025,High proper-motion star,9,52,45.8173,26,0,25.025,148.1909054,26.00695139
